Name,Sex,Age,Height,Team,NOC,Games,Year,Season,City,Sport,Medal,Event
NENE Zakithi,M,23.0,,South Africa,RSA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NENER Kenji,M,28.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Triathlon,,
NENEZIC Ljubica,F,24.0,179.0,Montenegro,MNE,Tokyo 2020,2020,Summer,Tokyo,Handball,,
NERETNIEKS Kristaps,M,32.0,,Latvia,LAT,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
NESTERENKO Mykyta,M,30.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NETTEY Christabel,F,30.0,,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NEUMANOVA Tereza,F,23.0,170.0,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
NEVEU Boris,M,35.0,,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Canoe Slalom,,
NEVIN Courtney,F,19.0,165.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Football,,
NEWELL Anicka,F,28.0,,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NEWMAN Alysha,F,27.0,,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NG Ka Long Angus,M,27.0,,"Hong Kong, China",HKG,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
NG LING KAI Amanda,F,27.0,,Singapore,SGP,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NG Lok Wang Lawrence,M,22.0,,"Hong Kong, China",HKG,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
NG Yan Yee,F,28.0,,Malaysia,MAS,Tokyo 2020,2020,Summer,Tokyo,Diving,,
NGARLEM Kristel,F,26.0,,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Weightlifting,,
NGCOBO Nkosingiphile,M,22.0,165.0,South Africa,RSA,Tokyo 2020,2020,Summer,Tokyo,Football,,
NGOYE AKAMABI Natacha,F,28.0,,Congo,CGO,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NGUYEN Anasztazia,F,28.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NGUYEN Hoang Phi Vu,M,22.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Archery,,
NGUYEN Huy Hoang,M,21.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NGUYEN Nhat,M,21.0,,Ireland,IRL,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
NGUYEN THI ANH Anh Vien,F,25.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NGUYEN Thi Tam,F,27.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
NGUYEN Thuy,F,28.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NGUYEN Thuy Linh,F,24.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
NGUYEN Tien Minh,M,38.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
NGUYEN van Duong,M,25.0,,Vietnam,VIE,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
NHABALI Quedjau,M,31.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NHAQUILE Deizy,F,21.0,14133.0,Mozambique,MOZ,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NI Xia Lian,F,58.0,,Luxembourg,LUX,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
NIANG Assmaa,F,38.0,,Morocco,MAR,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NIBALI Vincenzo,M,37.0,180.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
NICHITA Anastasia,F,22.0,,Republic of Moldova,MDA,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
NICHOLAS Breanne,F,27.0,163.0,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
NICHOLAS Jane,F,29.0,,Cook Islands,COK,Tokyo 2020,2020,Summer,Tokyo,Canoe Slalom,,
NICOLAI Paolo,M,33.0,202.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Beach Volleyball,,
NICOLAU Mariana,F,24.0,160.0,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
NICOLI Rebecca,F,22.0,169.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
NICOLINO Gabriela,F,32.0,,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NICOLSON Skye,F,26.0,,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
NICOSIA Gianmarco,M,23.0,196.0,Italy,ITA,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
NICULESCU Monica,F,34.0,168.0,Romania,ROU,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
NIEDZIALEK Lukasz,M,21.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NIELSEN Anna,F,23.0,162.0,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
NIELSEN Frida Sanggaard,F,23.0,180.0,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NIELSEN Ida Marie Baad,F,29.0,166.0,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NIELSEN Jaime,F,36.0,,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Cycling Track,,
NIELSEN Laviai,F,25.0,,Great Britain,GBR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NIELSEN Sverri,M,28.0,193.0,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NIEMANN Joaquin,M,23.0,185.0,Chile,CHI,Tokyo 2020,2020,Summer,Tokyo,Golf,,
NIESCHLAG Justus,M,29.0,184.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Triathlon,,
NIEVAREZ Cris,M,21.0,181.0,Philippines,PHI,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NIEWIADOMA Katarzyna,F,27.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
NIGGELER Michele,M,29.0,,Switzerland,SUI,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
NIIYA Hitomi,F,33.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NIIZAWA Yuki,F,24.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
NIJHUIS Thijs,M,29.0,,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NIK KHAHBAHRAMI Mohammadsamad,M,38.0,198.0,Islamic Republic of Iran,IRI,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NIKIFOROV Toma,M,28.0,,Belgium,BEL,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NIKISHIN Bogdan,M,41.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
NIKOLIC Aleksej,M,26.0,191.0,Slovenia,SLO,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NIKOLIC Milica,F,27.0,,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NIKOLIC Uros,M,25.0,,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NIKULINA Ina,F,26.0,,Belarus,BLR,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NILSHAGEN Therese,F,38.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
NILSSON Maja,F,22.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NILSSON Stefan,M,31.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
NINOMIYA Makoto,F,27.0,157.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
NIPPGEN Lisa,F,24.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NISHA,F,26.0,165.0,India,IND,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
NISHIDA Reo,M,21.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Diving,,
NISHIDA Yuji,M,21.0,186.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
NISHIKORI Emi,F,28.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
NISHIKORI Kei,M,32.0,178.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
NISHIMURA Aori,F,20.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Skateboarding,,
NISHIMURA Ken,M,26.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Karate,,
NISHIOKA Risa,F,24.0,186.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,3x3 Basketball,,
NISHIOKA Yoshihito,M,26.0,170.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
NITTA Yudai,M,35.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Cycling Track,,
NIU Guannan,F,29.0,178.0,People's Republic of China,CHN,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
NIUA Folau,M,36.0,182.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
NIYAZBEKOV Daulet,M,32.0,,Kazakhstan,KAZ,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
NIYONSABA Francine,F,28.0,,Burundi,BDI,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NIZETICH Paula Yamila,F,32.0,182.0,Argentina,ARG,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
NJIE Faye,M,28.0,,Gambia,GAM,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NJOBVU Roda,F,27.0,,Zambia,ZAM,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NKOUNKOU Niels,M,21.0,180.0,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Football,,
NOBBS Kaitlin,F,24.0,,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
NOBLE Kathleen,F,27.0,,Uganda,UGA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NOCETI KLEPACKA Zofia,F,35.0,170.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NOMENJANAHARY Damiella,F,24.0,,Madagascar,MAD,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NOMURA Kana,F,31.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
NOOR JAMALI Juni Karimah,F,19.0,,Malaysia,MAS,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NOOR ZAHI Sha Mahmood,M,30.0,,Afghanistan,AFG,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NORDAS Narve Gilje,M,23.0,,Norway,NOR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NORDIN Arnaud,M,23.0,170.0,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Football,,
NORDQVIST Anna,F,34.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Golf,,
NOREN Alex,M,39.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Golf,,
NORGAARD Alexander,M,21.0,,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NORITSINA Daria,F,25.0,165.0,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
NORLANDER Henrik,M,34.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Golf,,
NORMAN Phil,M,32.0,,Great Britain,GBR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NORTON Dan,M,33.0,185.0,Great Britain,GBR,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
NORTON Stephanie,F,21.0,175.0,"Hong Kong, China",HKG,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NOSACH Eugenia,F,28.0,183.0,Argentina,ARG,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
NOSHITANI Sakura,F,24.0,169.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Rhythmic Gymnastics,,
NOSKOVA Yana,F,27.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
NOUR Dania,F,18.0,,Palestine,PLE,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NOURINE Fethi,M,30.0,,Algeria,ALG,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NOUWEN Aniek,F,22.0,174.0,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Football,,
NOVAC Alexandru Mihaita,M,24.0,,Romania,ROU,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NOVAKOVIC Milica,F,33.0,172.0,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Canoe Sprint,,
NOVOZHYLOVA Iryna,F,35.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NOWAKOWSKI Piotr,M,34.0,204.0,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
NOWICKI Adam,M,31.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NTANATSIDIS Alexios,M,28.0,,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NTIAMOAH Brigitte,F,27.0,172.0,France,FRA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NTOUNTOUNAKI Anna,F,26.0,,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
NTRISMPIOTI Antigoni,F,37.0,,Greece,GRE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NTULI Nqobile Mansuet,M,25.0,,South Africa,RSA,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
NUEVO SEGURA Katherin,F,19.0,,Cuba,CUB,Tokyo 2020,2020,Summer,Tokyo,Canoe Sprint,,
NUGENT Leah,F,29.0,,Jamaica,JAM,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NUGENT-O'LEARY Georgia,F,25.0,,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NUGUSE Yared,M,22.0,,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NUMA Rose-Lee,F,24.0,163.0,Papua New Guinea,PNG,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NUMA Teariki,M,22.0,177.0,Papua New Guinea,PNG,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
NUNES Lais,F,29.0,,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
NUNES Rochele,F,32.0,169.0,Portugal,POR,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NUNEZ Jonathan,M,20.0,178.0,Honduras,HON,Tokyo 2020,2020,Summer,Tokyo,Football,,
NURDAULETOV Bekzad,M,23.0,,Kazakhstan,KAZ,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
NURILLAEV Sardor,M,27.0,,Uzbekistan,UZB,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NURME Tiidrek,M,36.0,,Estonia,EST,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NUROV Magomedgadji,M,28.0,180.0,North Macedonia,MKD,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
NURSE Kia,F,25.0,182.0,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NUSSER Larissa,F,21.0,175.0,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Handball,,
NUUTINEN Sanna,F,30.0,177.0,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Golf,,
NWAJIDE Carlotta,F,26.0,180.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
NWAMU Ike,M,28.0,196.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NWOKOCHA Nzubechi Grace,F,20.0,,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NWORA Jordan,M,23.0,202.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NYINGIFA Atonye,F,31.0,183.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
NYMAN Marcus,M,31.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Judo,,
NYMBURSKY Petr,M,26.0,179.0,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
NYZHNYK Mykola,M,26.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
NZIKWINKUNDA Eric,M,24.0,,Burundi,BDI,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OBAME Anthony Mylann,M,33.0,,Gabon,GAB,Tokyo 2020,2020,Summer,Tokyo,Taekwondo,,
OBASUYI Michael,M,22.0,,Belgium,BEL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OBERHOLZER Carla,F,34.0,,South Africa,RSA,Tokyo 2020,2020,Summer,Tokyo,Cycling Road,,
OBERHOLZER Dallas,M,46.0,,South Africa,RSA,Tokyo 2020,2020,Summer,Tokyo,Skateboarding,,
OBERT Alex,M,30.0,196.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
OBIENA Ernest John,M,26.0,,Philippines,PHI,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OBOYA Bendere,F,21.0,,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OBRADOVIC Anja,F,21.0,,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Judo,,
OBRADOVIC Paulo,M,35.0,190.0,Croatia,CRO,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
OBREGON Juan,M,24.0,175.0,Honduras,HON,Tokyo 2020,2020,Summer,Tokyo,Football,,
O'BRIEN Joseph,M,23.0,194.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
O'BRIEN Kristine,F,30.0,183.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
OBST Andreas,M,25.0,191.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OCHIAI Hiromasa,M,27.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OCHIAI Tomoya,M,34.0,195.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,3x3 Basketball,,
OCHIENG Diana,F,29.0,167.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OCHIRBAT Burmaa,F,39.0,,Mongolia,MGL,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
OCHOA FERNANDEZ Jefferson,M,25.0,,Colombia,COL,Tokyo 2020,2020,Summer,Tokyo,Taekwondo,,
OCHOLA Elly Ajowi,M,38.0,,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
O'CONNOR Austin,M,47.0,,Ireland,IRL,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
O'CONNOR Cian,M,42.0,,Ireland,IRL,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
ODAKURA Makoto,M,28.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Triathlon,,
ODHIAMBO Billy,M,28.0,178.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
ODHIAMBO Mark Otieno,M,28.0,,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
ODIKADZE Elizbar,M,32.0,183.0,Georgia,GEO,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
O'DONNELL Christopher,M,23.0,,Ireland,IRL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
ODUDURU Divine,M,25.0,,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
ODURO MANU Joseph,M,25.0,,Ghana,GHA,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OETLING Elena,F,28.0,173.0,Mexico,MEX,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
OEVERBY Petter,M,29.0,199.0,Norway,NOR,Tokyo 2020,2020,Summer,Tokyo,Handball,,
O'FLANAGAN Anna,F,31.0,159.0,Ireland,IRL,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OGALLO Faith,F,26.0,,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Taekwondo,,
OGRETIR Berkay,M,23.0,,Turkey,TUR,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
OGRODNIKOVA Nikola,F,31.0,,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OGUNBANWO Abiola,F,17.0,,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
OGUNODE Femi,M,30.0,,Qatar,QAT,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OGWUMIKE Erica,F,24.0,175.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OH Jaeil,M,35.0,187.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
OH Ji Hwan,M,31.0,186.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
OH Jiyoung,F,33.0,170.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
OH Joohan,M,33.0,,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OH Seunghwan,M,39.0,178.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Baseball/Softball,,
OH Yeonji,F,31.0,167.0,Republic of Korea,KOR,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
O'HALLORAN Tom,M,29.0,180.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Sport Climbing,,
O'HANLON Grace,F,29.0,,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OHASHI Masaki,M,28.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
O'HEA Jenna,F,34.0,186.0,Australia,AUS,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OHHARA Hiroto,M,25.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Surfing,,
OHIOZE Michael,M,26.0,,Great Britain,GBR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OHYAMA Mana,F,29.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Handball,,
OIKAWA Shihori,F,32.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OIKE Minato,F,25.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Cycling BMX Freestyle,,
OISHI Ayami,F,30.0,170.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
OIWA Chisaki,F,20.0,160.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Rhythmic Gymnastics,,
OIWA Yoshiaki,M,45.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
OJALA Aleksi,M,29.0,,Finland,FIN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OJEE Jacob,M,30.0,180.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OJELI Ifeanyi Emmanuel,M,23.0,,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OKADA Keiju,M,26.0,170.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
OKADA Kumiko,F,30.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OKADA Naoya,M,31.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
OKAFOR Jahlil,M,26.0,208.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OKAGBARE Blessing,F,33.0,,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OKAMOTO Misugu,F,15.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Skateboarding,,
OKAWA Keigo,M,31.0,183.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Water Polo,,
OKAZAWA Sewonrets Quincy Mensah,M,26.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
OKELLO Janet,F,29.0,171.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OKOGIE Josh,M,23.0,193.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OKONKWO Amy,F,25.0,188.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OKOTH Nicholas Okong'o,M,38.0,,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
OKOYE Lawrence,M,30.0,,Great Britain,GBR,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OKPALA KZ,M,22.0,202.0,Nigeria,NGR,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
OKUHARA Nozomi,F,26.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
OKULU Grace,F,23.0,171.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OKUMU Judith,F,23.0,155.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OKUMURA Mai,F,31.0,177.0,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Volleyball,,
OKWACH Vivian,F,22.0,160.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OLARASU Maria,F,21.0,157.0,Republic of Moldova,MDA,Tokyo 2020,2020,Summer,Tokyo,Canoe Sprint,,
OLARU Dan,M,25.0,,Republic of Moldova,MDA,Tokyo 2020,2020,Summer,Tokyo,Archery,,
OLARU Raluca,F,32.0,174.0,Romania,ROU,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
OLASZ Anna,F,28.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Marathon Swimming,,
OLD Ben,M,19.0,173.0,New Zealand,NZL,Tokyo 2020,2020,Summer,Tokyo,Football,,
OLDENBEUVING Keet,F,17.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Skateboarding,,
O'LEARY Meghan,F,37.0,183.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
OLESK Peeter,M,28.0,179.0,Estonia,EST,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
OLEZZA BAZAN Facundo Mario,M,27.0,,Argentina,ARG,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
OLINDI Johnstone,M,22.0,177.0,Kenya,KEN,Tokyo 2020,2020,Summer,Tokyo,Rugby Sevens,,
OLIVA Elvin,M,24.0,187.0,Honduras,HON,Tokyo 2020,2020,Summer,Tokyo,Football,,
OLIVA ISERN Georgina,F,31.0,156.0,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OLIVA ISERN Roc,M,32.0,180.0,Spain,ESP,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
OLIVAS NUNEZ Andres Eduardo,M,23.0,,Mexico,MEX,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
OLIVEIRA Fernanda,F,41.0,,Brazil,BRA,Tokyo 2020,2020,Summer,Tokyo,Sailing,,
