Name,Sex,Age,Height,Team,NOC,Games,Year,Season,City,Sport,Medal,Event
KOZUBEK Matej,M,25.0,183.0,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Marathon Swimming,,
KOZUCH Margareta,F,35.0,188.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Beach Volleyball,,
KOZUKA Miki,F,25.0,,Japan,JPN,Tokyo 2020,2020,Summer,Tokyo,Hockey,,
KOZUL Deni,M,24.0,,Slovenia,SLO,Tokyo 2020,2020,Summer,Tokyo,Table Tennis,,
KOZYREV Sergei,M,19.0,,ROC,ROC,Tokyo 2020,2020,Summer,Tokyo,Wrestling,,
KRAFZIK Carolina,F,26.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRAJICEK Austin,M,31.0,188.0,United States of America,USA,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
KRAJISNIK Tina,F,30.0,190.0,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Basketball,,
KRALJEV Milka,F,39.0,,Argentina,ARG,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KRAMARENKO Yana,F,19.0,,Israel,ISR,Tokyo 2020,2020,Summer,Tokyo,Rhythmic Gymnastics,,
KRAMER Andreas,M,24.0,,Sweden,SWE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRAMER Mathilde U.,F,28.0,,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRAMPL Mia,F,21.0,163.0,Slovenia,SLO,Tokyo 2020,2020,Summer,Tokyo,Sport Climbing,,
KRASKA Jakub,M,21.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KRAUSE Gesa Felicitas,F,29.0,,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRAUSZ Gergely,M,28.0,188.0,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Badminton,,
KRAVCENOKA Anastasija,F,24.0,179.0,Latvia,LAT,Tokyo 2020,2020,Summer,Tokyo,Beach Volleyball,,
KRAVCHENKO Zoya,F,22.0,,Kazakhstan,KAZ,Tokyo 2020,2020,Summer,Tokyo,Shooting,,
KRAWIETZ Kevin,M,29.0,191.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
KREISS Fanni,F,32.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
KRETZ Amelie,F,28.0,,Canada,CAN,Tokyo 2020,2020,Summer,Tokyo,Triathlon,,
KRIMI Khadija,F,26.0,169.0,Tunisia,TUN,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KRISHAN Vikas,M,29.0,176.0,India,IND,Tokyo 2020,2020,Summer,Tokyo,Boxing,,
KRITININA Natalya,F,20.0,178.0,Uzbekistan,UZB,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KRIZSAN Xenia,F,28.0,,Hungary,HUN,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KROMMENHOEK Guillaume,M,29.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KROMOWIDJOJO Ranomi,F,31.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Swimming,,
KRSEK Matej,M,21.0,185.0,Czech Republic,CZE,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRSSAKOVA Magdalena,F,27.0,,Austria,AUT,Tokyo 2020,2020,Summer,Tokyo,Judo,,
KRUEGER Stephan,M,33.0,187.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Rowing,,
KRUKOWSKI Marcin,M,29.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRUMINS Susan,F,35.0,,Netherlands,NED,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
KRUNIC Aleksandra,F,28.0,,Serbia,SRB,Tokyo 2020,2020,Summer,Tokyo,Tennis,,
KRUPECKAITE Simona,F,39.0,,Lithuania,LTU,Tokyo 2020,2020,Summer,Tokyo,Cycling Track,,
KRUSE Max,M,33.0,181.0,Germany,GER,Tokyo 2020,2020,Summer,Tokyo,Football,,
KRUTH Carina Cassoe,F,37.0,,Denmark,DEN,Tokyo 2020,2020,Summer,Tokyo,Equestrian,,
KRYVYTSKA Olena,F,34.0,,Ukraine,UKR,Tokyo 2020,2020,Summer,Tokyo,Fencing,,
KRZEWINA Jakub,M,32.0,,Poland,POL,Tokyo 2020,2020,Summer,Tokyo,Athletics,,
