Country,Year,Medal,Participation_own_country,Soviet_past,AthletesNumber,Population,GDP_per_capita,Urban Population(%)
Cambodia,2016,0,0,0,6,15624584.0,1281.1059710541222,22.582
Cambodia,2020,0,0,0,3,16396860.0,1577.9117399164475,24.232
Cameroon,2000,1,0,0,34,15091594.0,700.1632362348935,45.542
Cameroon,2004,1,0,0,17,16809407.0,1119.9808616474038,47.94
Cameroon,2008,1,0,0,32,18777081.0,1476.009078989061,50.35
Cameroon,2012,0,0,0,32,21032684.0,1433.7239284002983,52.769
Cameroon,2016,0,0,0,22,23711630.0,1426.065481132107,55.179
Cameroon,2020,0,0,0,12,26491087.0,1539.1305451924452,57.56
Canada,2000,14,0,0,294,30685730.0,24271.002056382138,79.478
Canada,2004,12,0,0,262,31940655.0,32143.681407856227,80.045
Canada,2008,19,0,0,332,33247118.0,46710.50557590134,80.578
Canada,2012,18,0,0,273,34714222.0,52669.08996323179,81.137
Canada,2016,22,0,0,310,36109487.0,42315.603705680725,81.3
Canada,2020,24,0,0,384,38007166.0,43562.435831184834,81.562
Cape Verde,2000,0,0,0,2,458251.0,1176.7072578704922,53.435
Cape Verde,2004,0,0,0,3,486583.0,1900.8884647365342,56.846
Cape Verde,2008,0,0,0,2,510336.0,3839.863635557319,60.194
Cape Verde,2012,0,0,0,3,533864.0,3583.4617251099717,62.821
Cape Verde,2016,0,0,0,5,558394.0,3312.6967445848627,64.784
Cape Verde,2020,0,0,0,6,582640.0,3126.3998587225906,66.652
Cayman Islands,2000,0,0,0,3,39658.0,,100.0
Cayman Islands,2004,0,0,0,5,45286.0,,100.0
Cayman Islands,2008,0,0,0,4,51123.0,89704.22361356122,100.0
Cayman Islands,2012,0,0,0,4,56860.0,75466.13654622054,100.0
Cayman Islands,2016,0,0,0,5,62255.0,78858.28025522368,100.0
Cayman Islands,2020,0,0,0,5,67311.0,83897.50544338903,100.0
Central African Republic,2000,0,0,0,3,3759170.0,243.87758007529825,37.639
Central African Republic,2004,0,0,0,4,4115138.0,309.1902427874181,37.966
Central African Republic,2008,0,0,0,3,4467233.0,446.2287703592761,38.506
Central African Republic,2012,0,0,0,6,4773306.0,525.8675040377277,39.388
Central African Republic,2016,0,0,0,6,4904177.0,372.1354560930305,40.618
Central African Republic,2020,0,0,0,2,5343020.0,435.4692478000213,42.198
Chad,2000,0,0,0,2,8259137.0,168.11765824777575,21.637
Chad,2004,0,0,0,1,9613503.0,460.06701832057684,21.768
Chad,2008,0,0,0,2,11098664.0,936.4941370749759,21.901
Chad,2012,0,0,0,2,12754906.0,969.6161427715891,22.142
Chad,2016,0,0,0,2,14592585.0,691.9800774277279,22.677
Chad,2020,0,0,0,3,16644701.0,643.7722156940097,23.52
Chile,2000,1,0,0,50,15351799.0,5102.96876066704,86.073
Chile,2004,3,0,0,22,16017966.0,6185.303784610961,86.725
Chile,2008,1,0,0,26,16661462.0,10797.047370511664,86.959
Chile,2012,0,0,0,35,17341771.0,15397.780459815149,87.189
Chile,2016,0,0,0,42,18083879.0,13788.240015760113,87.422
Chile,2020,0,0,0,55,19300315.0,13173.78479417227,87.727
China,2000,58,0,0,266,1262645000.0,959.3604313404402,35.877
China,2004,63,0,0,372,1296075000.0,1508.6679156357773,41.144
China,2008,100,1,0,583,1324655000.0,3468.327063085905,46.539
China,2012,88,0,0,365,1354190000.0,6300.582179529039,51.765
China,2016,70,0,0,390,1387790000.0,8094.3901673080945,56.736
China,2020,85,0,0,415,1411100000.0,10408.719554107434,61.428
Colombia,2000,1,0,0,44,39215135.0,2546.8502135980866,73.957
Colombia,2004,2,0,0,53,41648268.0,2811.4594505165255,75.62
Colombia,2008,2,0,0,67,43815313.0,5534.689446881984,77.204
Colombia,2012,8,0,0,101,45782417.0,8096.8015097751395,78.701
Colombia,2016,8,0,0,143,47625955.0,5936.261021668291,80.108
Colombia,2020,5,0,0,68,50930662.0,5304.289128866419,81.425
Comoros,2000,0,0,0,2,536758.0,654.18043075023,28.08
Comoros,2004,0,0,0,3,581154.0,1090.4271686947247,27.903
Comoros,2008,0,0,0,3,629470.0,1454.650909116579,27.886
Comoros,2012,0,0,0,3,684553.0,1483.951558529946,28.123
Comoros,2016,0,0,0,4,746232.0,1357.266228888268,28.619
Comoros,2020,0,0,0,3,806166.0,1519.5867798163404,29.38
Congo,2000,0,0,0,5,3134030.0,1029.960688818936,58.695
Congo,2004,0,0,0,5,3543012.0,1314.4112806073504,60.533
Congo,2008,0,0,0,5,4089602.0,2848.6531631791063,62.346
Congo,2012,0,0,0,7,4713257.0,3753.860928081028,64.169
Congo,2016,0,0,0,10,5186824.0,2107.503023972203,66.001
Congo,2020,0,0,0,3,5702174.0,2011.2694790099006,67.829
"Congo, Dem Rep",2000,0,0,0,2,48616317.0,392.62633378413057,35.122
"Congo, Dem Rep",2004,0,0,0,4,54815607.0,187.85678102995374,37.0
"Congo, Dem Rep",2008,0,0,0,5,62249724.0,317.8892100811306,38.976
"Congo, Dem Rep",2012,0,0,0,4,70997870.0,412.77626054499524,41.082
"Congo, Dem Rep",2016,0,0,0,4,81430977.0,456.0279505836237,43.307
"Congo, Dem Rep",2020,0,0,0,6,92853164.0,524.6666862114952,45.638
Cook Islands,2000,0,0,0,2,,,
Cook Islands,2004,0,0,0,3,,,
Cook Islands,2008,0,0,0,4,,,
Cook Islands,2012,0,0,0,8,,,
Cook Islands,2016,0,0,0,9,,,
Cook Islands,2020,0,0,0,6,,,
Costa Rica,2000,2,0,0,7,3979193.0,3773.033793196786,59.052
Costa Rica,2004,0,0,0,20,4252800.0,4376.080428472606,64.388
Costa Rica,2008,0,0,0,8,4501921.0,6841.911460007894,69.39
Costa Rica,2012,0,0,0,11,4736593.0,9971.651655765843,73.946
Costa Rica,2016,0,0,0,11,4945205.0,11899.813983374785,77.735
Costa Rica,2020,0,0,0,13,5123105.0,12179.256673519516,80.771
Cote d'Ivoire,2000,0,0,0,14,16799670.0,986.7773528395677,43.155
Cote d'Ivoire,2004,0,0,0,5,18544903.0,1267.7648229510503,44.817
Cote d'Ivoire,2008,0,0,0,21,20244449.0,1683.3375045376736,46.491
Cote d'Ivoire,2012,0,0,0,9,22010712.0,1649.3016148365032,48.172
Cote d'Ivoire,2016,2,0,0,12,24213622.0,1999.1953715938325,49.881
Cote d'Ivoire,2020,1,0,0,30,26811790.0,2349.069882004178,51.706
Croatia,2000,2,0,0,88,4468302.0,4952.3777529893005,53.428
Croatia,2004,5,0,0,81,4304600.0,9723.381023856316,54.147
Croatia,2008,5,0,0,99,4309705.0,15898.79989608762,54.819
Croatia,2012,6,0,0,107,4267558.0,13439.66455551894,55.506
Croatia,2016,10,0,0,85,4174349.0,12579.922703148084,56.403
Croatia,2020,8,0,0,58,4047680.0,14269.908854933172,57.553
Cuba,2000,29,0,0,229,11105791.0,2752.2037826931914,75.323
Cuba,2004,27,0,0,151,11225294.0,3403.29616311163,76.041
Cuba,2008,24,0,0,158,11276609.0,4992.82449445836,76.413
Cuba,2012,14,0,0,109,11309290.0,6467.337914228037,76.781
Cuba,2016,11,0,0,117,11342012.0,8055.925867800175,76.93
Cuba,2020,15,0,0,69,11300698.0,9499.57250428248,77.194
Cyprus,2000,0,0,0,22,948237.0,10530.958490687086,68.648
Cyprus,2004,0,0,0,20,1018684.0,17002.870860836138,68.41
Cyprus,2008,0,0,0,17,1092390.0,25489.705132148043,67.839
Cyprus,2012,1,0,0,13,1156556.0,21596.268512972223,67.261
Cyprus,2016,0,0,0,15,1197881.0,17491.683638093935,66.881
Cyprus,2020,0,0,0,14,1237537.0,20385.00762743215,66.821
Czech Republic,2000,8,0,0,119,10255063.0,6029.038192753579,73.988
Czech Republic,2004,9,0,0,142,10197101.0,11749.852664357742,73.671
Czech Republic,2008,6,0,0,134,10384603.0,22804.577677450743,73.394
Czech Republic,2012,10,0,0,133,10510785.0,19870.80121234037,73.197
Czech Republic,2016,10,0,0,104,10566332.0,18575.23202719146,73.57
Czech Republic,2020,11,0,0,115,10697858.0,22992.879383334777,74.061
Denmark,2000,6,0,0,97,5339616.0,30743.547681635344,85.1
Denmark,2004,8,0,0,92,5404523.0,46511.59833243045,85.566
Denmark,2008,7,0,0,84,5493621.0,64322.063502084144,86.487
Denmark,2012,9,0,0,114,5591572.0,58507.50805178526,87.142
Denmark,2016,15,0,0,119,5728010.0,54663.998371919566,87.642
Denmark,2020,11,0,0,105,5831404.0,60836.59241216369,88.116
Djibouti,2000,0,0,0,2,742033.0,742.8656971543112,76.532
Djibouti,2008,0,0,0,2,882886.0,1131.635725640376,76.899
Djibouti,2012,0,0,0,4,954297.0,1418.4608581193277,77.138
Djibouti,2016,0,0,0,7,1023261.0,2545.738798509051,77.528
Djibouti,2020,0,0,0,4,1090156.0,2921.738706232934,78.062
Dominica,2000,0,0,0,4,68346.0,4879.14977277924,65.265
Dominica,2004,0,0,0,2,68574.0,5354.799195030187,66.299
Dominica,2008,0,0,0,2,68782.0,6661.465047379968,67.502
Dominica,2012,0,0,0,2,68888.0,7054.875976894321,68.685
Dominica,2016,0,0,0,2,70075.0,8223.041450297966,69.88
Dominica,2020,0,0,0,2,71995.0,7003.469891170428,71.09
Dominican Republic,2000,0,0,0,13,8540791.0,2845.846553166762,61.753
Dominican Republic,2004,1,0,0,33,9043127.0,2468.4367898951323,66.003
